NegativeWords
0, Sinirli
1, Sinir etmek
2, Endişeli
3, ilgisizlik
4, Korkunç
5, Kibirli
6, iğrenç
7, Berbat
8, Kötü
9, Banal
10, Dikenli
11, kavgacı
12, bemoan
13, Altında
14, Sıkıcı
15, Bozuldu
16, duygusuz
17, Dikkatsiz
18, Sakar
19, Kaba
20, Yıkılmak
21, Kafası karışmış
22, çelişkili
23, aksine
24, aşındırıcı
25, Yozlaşmış
26, Deli
27, Ürpertici
28, Adli
29, Zalim
30, Ağla
31, kesme
32, Zarar
33, Ölü
34, çürüyen
35, deforme olmuş
36, Reddetmek
37, içler acısı
38, Bunalımlı
39, yoksun
40, aşağılık
41, Kirli<
42, Hastalık
43, Mide bulandırıcı
44, Sahtekâr
45, şerefsiz
46, sıkıntı
47, Korkunç
48, Fenalık
49, Başarısız
50, arızalı
51, Korkmak
52, zayıf
53, Kavga
54, Pis
55, Faul
56, Korkunç
57, Mezar
58, Açgözlülük
59, yüz buruşturma
60, Brüt
61, korkunç 
62, Suçlu
63, Bitkin
64, Sert
65, Zararlı
66, Nefret 
67, iğrenç
68, sade
69, Korkunç
70, Berbat
71, Hasım
72, acı verici
73, Cahil
74, Göz ardı etmek
75, olgunlaşmamış
76, mükemmel
77, İmkansız
78, cehennem
79, yaralamak
80, İnanılmaz
81, Sinsi
82, Kıskanç
83, abur cubur
84, kaybetmek
85, berbat
86, Topaklı
87, Asalak
88, Kastetmek
89, Dağınık
90, Eksik
91, yanlış anlaşıldı
92, İnilti
93, Küflü
94, kaprisli
95, Toy
96, Edepsiz
97, Yaramaz
98, Olumsuz
99, Asla
100, Kimse
101, Anlamsız
102, Değil
103, Zararlı
104, sakıncalı
105, İğrenç
106, saldırgan
107, Eskimiş
108, Baskıcı
109, Ağrı
110, Küçükt
111, Zehirli
112, Yoksul
113, şüpheli
114, Reddetmek
115, dönek
116, itici
117, intikam
118, Çürük
119, Kaba
120, Üzgün
121, vahşi
122, Korkmak
123, Çığlık<
124, Şiddetli
125, Şok edici
126, Hasta
127, mide bulandırıcı
128, Uğursuz
129, sümüksü
130, Kindar
131, Yapışkan
132, Kokmuş
133, Stresli
134, Aptal
135, gergin
136, Korkunç
137, Korkutucu
138, tehdit
139, Çirkin
140, altını oymak
141, Haksız
142, Mutsuz
143, Sağlıksız
144, Şanssız
145, Güvenilmez
146, yetersiz
147, İstenmeyen
148, hantal
149, Makul olmayan
150, Üzgün
151, Aşağılık
152, hain
153, Yorgun
154, Kötü
155, Değersiz
156, bağırmak
157, sıfır
158, kötü
